,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Emotionsbezug_falls_nötig
445,IBRAHIM,,,,,,LSch,negativ,104809,CATMA_0A074C88-92E2-44AB-BDF4-7C0CF4AC4473,11,Emotionen der Angst,negativ,104756,Angst,Was bringstu uns / mein Trost / Vergnügung oder Pein?,"['Was', 'bringstu', 'uns', '/', 'mein', 'Trost', '/', 'Vergnügung', 'oder', 'Pein', '?']",
446,IBRAHIM,SECHIERPERA,AMBRE,,,,LSch,negativ,104876,CATMA_A8C44C07-4FEE-4CF3-9B3B-F15C6396D3FE,10,Emotionen des Leids,negativ,104824,Leid,Durch einen Schlag kan nicht ein Baum gefället seyn.,"['Durch', 'einen', 'Schlag', 'kan', 'nicht', 'ein', 'Baum', 'gefället', 'seyn', '.']",
447,IBRAHIM,,,,,,LSch,negativ,104938,CATMA_430070E3-FBEF-403B-804A-804BC86CA6A3,12,Emotionen des Leids,negativ,104887,Leid,So läßt / hilf Himmel! sich die Raue nicht bewegen?,"['So', 'läßt', '/', 'hilf', 'Himmel', '!', 'sich', 'die', 'Raue', 'nicht', 'bewegen', '?']",
448,IBRAHIM,,,,,,LSch,positiv,105070,CATMA_86288FA3-B655-4955-9A76-688C4D6D66C8,11,Emotionen der Zuneigung,positiv,105017,Liebe,Schlägt sie mit Trotze denn des Sultans Lieb in Wind?,"['Schlägt', 'sie', 'mit', 'Trotze', 'denn', 'des', 'Sultans', 'Lieb', 'in', 'Wind', '?']",
449,IBRAHIM,,,,,,LSch,negativ,105070,CATMA_9DD84337-C59E-493A-A345-538A15C4354A,11,Emotionen der Ablehnung,negativ,105017,Ärger,Schlägt sie mit Trotze denn des Sultans Lieb in Wind?,"['Schlägt', 'sie', 'mit', 'Trotze', 'denn', 'des', 'Sultans', 'Lieb', 'in', 'Wind', '?']",
450,IBRAHIM,,,,,,LSch,Emotionale Bewegtheit,105199,CATMA_8FFD0356-A5B8-4177-9CE8-10664A03DE82,12,Emotionale Bewegtheit,Emotionale Bewegtheit,105143,Emotionale Bewegtheit,"Wie? stößt sie denn von sich die Seeligkeit mit Füssen?
","['Wie', '?', 'stößt', 'sie', 'denn', 'von', 'sich', 'die', 'Seeligkeit', 'mit', 'Füssen', '?']",
451,,IBRAHIM,,,,,LSch,negativ,105321,CATMA_26F09275-6C1C-4A18-8A20-A29171EC2779,9,Emotionen der Angst,negativ,105274,Angst,Was mahlet ihr die Furcht für Todes-Larven für?,"['Was', 'mahlet', 'ihr', 'die', 'Furcht', 'für', 'Todes-Larven', 'für', '?']",
452,,SECHIERPERA,,,,,LSch,negativ,105592,CATMA_25D485D5-9F25-4698-85F3-2EE28560AD8B,34,Emotionen des Leids,negativ,105431,Leid,"Darumb so sey ihr Schluß: für Thron und Gold die Hürden /
Für Wollust Fessel / Strick / und Sebel zu erwehln /
Als nebst dem Sultan ihr auch Hencker zu vermähln.","['Darumb', 'so', 'sey', 'ihr', 'Schluß', ':', 'für', 'Thron', 'und', 'Gold', 'die', 'Hürden', '/', 'Für', 'Wollust', 'Fessel', '/', 'Strick', '/', 'und', 'Sebel', 'zu', 'erwehln', '/', 'Als', 'nebst', 'dem', 'Sultan', 'ihr', 'auch', 'Hencker', 'zu', 'vermähln', '.']",
453,,,,,,,LSch,negativ,105902,CATMA_E3904AB0-55EF-4C38-8E45-B5FD21F73D07,54,Emotionen des Leids,negativ,105604,Leid,"Sol Ibrahim von ihr sich aber henckern lassen?
Sol er des Nachts im Traum ihr zaubrisch Bild umbfassen /
Des Tages säufzende wie Sclave für ihr knien?
Mit iedem Atheme Hertzklopffen an sich ziehn?
Und durch die Hellen-Pein nicht ihre Gunst erwerben?
Ja unvergnügt vergehn / und unbeseligt sterben?
","['Sol', 'Ibrahim', 'von', 'ihr', 'sich', 'aber', 'henckern', 'lassen', '?', 'Sol', 'er', 'des', 'Nachts', 'im', 'Traum', 'ihr', 'zaubrisch', 'Bild', 'umbfassen', '/', 'Des', 'Tages', 'säufzende', 'wie', 'Sclave', 'für', 'ihr', 'knien', '?', 'Mit', 'iedem', 'Atheme', 'Hertzklopffen', 'an', 'sich', 'ziehn', '?', 'Und', 'durch', 'die', 'Hellen-Pein', 'nicht', 'ihre', 'Gunst', 'erwerben', '?', 'Ja', 'unvergnügt', 'vergehn', '/', 'und', 'unbeseligt', 'sterben', '?']",
454,,,,,negativ,,LSch,positiv,105902,CATMA_F163690B-010F-42E7-8687-AA6BE3FA13EE,54,Emotionen der Zuneigung,negativ,105604,Liebe,"Sol Ibrahim von ihr sich aber henckern lassen?
Sol er des Nachts im Traum ihr zaubrisch Bild umbfassen /
Des Tages säufzende wie Sclave für ihr knien?
Mit iedem Atheme Hertzklopffen an sich ziehn?
Und durch die Hellen-Pein nicht ihre Gunst erwerben?
Ja unvergnügt vergehn / und unbeseligt sterben?
","['Sol', 'Ibrahim', 'von', 'ihr', 'sich', 'aber', 'henckern', 'lassen', '?', 'Sol', 'er', 'des', 'Nachts', 'im', 'Traum', 'ihr', 'zaubrisch', 'Bild', 'umbfassen', '/', 'Des', 'Tages', 'säufzende', 'wie', 'Sclave', 'für', 'ihr', 'knien', '?', 'Mit', 'iedem', 'Atheme', 'Hertzklopffen', 'an', 'sich', 'ziehn', '?', 'Und', 'durch', 'die', 'Hellen-Pein', 'nicht', 'ihre', 'Gunst', 'erwerben', '?', 'Ja', 'unvergnügt', 'vergehn', '/', 'und', 'unbeseligt', 'sterben', '?']",
455,,SECHIERPERA,AMBRE,,,,LSch,positiv,106175,CATMA_8B8B7BED-F7A1-43B5-96F3-E9CAF16D8D20,17,Emotionen der Zuneigung,positiv,106088,Liebe,"So wird der Seelenbrand sich auch des Sultans trennen
Durch Zeit / Vernunft / und Witz.","['So', 'wird', 'der', 'Seelenbrand', 'sich', 'auch', 'des', 'Sultans', 'trennen', 'Durch', 'Zeit', '/', 'Vernunft', '/', 'und', 'Witz', '.']",
456,,,,,,nur auf Sprachebene,LSch,positiv,106450,CATMA_58859BAD-891B-4522-BC8A-E83DAE31DB20,30,Emotionen der Zuneigung,positiv,106301,Verehrung,"Der Ambre Schönheit hat entfernt mich mehr gezogen
Als sie mich nahe zeucht. Und / wo ich urtheiln kan /
So stehet Ambre nicht dem grossen Sultan an.","['Der', 'Ambre', 'Schönheit', 'hat', 'entfernt', 'mich', 'mehr', 'gezogen', 'Als', 'sie', 'mich', 'nahe', 'zeucht', '.', 'Und', '/', 'wo', 'ich', 'urtheiln', 'kan', '/', 'So', 'stehet', 'Ambre', 'nicht', 'dem', 'grossen', 'Sultan', 'an', '.']",
457,IBRAHIM,,,,,,LSch,negativ,106726,CATMA_B1FC8D85-8085-493A-BE6B-8B950970AB70,52,Emotionen des Leids,negativ,106462,Leid,"Ach! leider / ach! diß ist kein Pflaster unsern Schmertzen!
Die Seiffe tilget nicht das Bildnüß auß dem Hertzen /
Die deine Zunge selbst pregt unser Seelen ein.
Wie mag die Göttin dir nunmehr verächtlich seyn /
Der Weyrauch war zu schlecht / und Balsam zu geringe?","['Ach', '!', 'leider', '/', 'ach', '!', 'diß', 'ist', 'kein', 'Pflaster', 'unsern', 'Schmertzen', '!', 'Die', 'Seiffe', 'tilget', 'nicht', 'das', 'Bildnüß', 'auß', 'dem', 'Hertzen', '/', 'Die', 'deine', 'Zunge', 'selbst', 'pregt', 'unser', 'Seelen', 'ein', '.', 'Wie', 'mag', 'die', 'Göttin', 'dir', 'nunmehr', 'verächtlich', 'seyn', '/', 'Der', 'Weyrauch', 'war', 'zu', 'schlecht', '/', 'und', 'Balsam', 'zu', 'geringe', '?']",
458,IBRAHIM,,AMBRE,,,,LSch,positiv,106622,CATMA_0D7F743C-EDC0-4B63-AF4D-656ABE23D77B,32,Emotionen der Zuneigung,positiv,106462,Liebe,"Ach! leider / ach! diß ist kein Pflaster unsern Schmertzen!
Die Seiffe tilget nicht das Bildnüß auß dem Hertzen /
Die deine Zunge selbst pregt unser Seelen ein.","['Ach', '!', 'leider', '/', 'ach', '!', 'diß', 'ist', 'kein', 'Pflaster', 'unsern', 'Schmertzen', '!', 'Die', 'Seiffe', 'tilget', 'nicht', 'das', 'Bildnüß', 'auß', 'dem', 'Hertzen', '/', 'Die', 'deine', 'Zunge', 'selbst', 'pregt', 'unser', 'Seelen', 'ein', '.']",
459,,IBRAHIM,,,,,LSch,positiv,106726,CATMA_CE4059E7-D6C0-4458-9B98-27021FB9B456,20,Emotionen der Zuneigung,positiv,106623,Verehrung,"Wie mag die Göttin dir nunmehr verächtlich seyn /
Der Weyrauch war zu schlecht / und Balsam zu geringe?","['Wie', 'mag', 'die', 'Göttin', 'dir', 'nunmehr', 'verächtlich', 'seyn', '/', 'Der', 'Weyrauch', 'war', 'zu', 'schlecht', '/', 'und', 'Balsam', 'zu', 'geringe', '?']",
460,,IBRAHIM,,,,,LSch,negativ,106726,CATMA_F0522AD3-CDFB-4355-90DF-C8D545BB9746,20,Emotionen der Ablehnung,negativ,106623,Abscheu,"Wie mag die Göttin dir nunmehr verächtlich seyn /
Der Weyrauch war zu schlecht / und Balsam zu geringe?","['Wie', 'mag', 'die', 'Göttin', 'dir', 'nunmehr', 'verächtlich', 'seyn', '/', 'Der', 'Weyrauch', 'war', 'zu', 'schlecht', '/', 'und', 'Balsam', 'zu', 'geringe', '?']",
461,,,AMBRE,,,nur auf Sprachebene,LSch,positiv,107358,CATMA_56506709-21F8-4799-92CA-44B563F6C5CA,74,Emotionen der Zuneigung,positiv,106948,Verehrung,"Ich schwere; grosser Fürst: daß itzt mit minderm Lichte
Mir Ambrens Antlitz spielt. Der Strahlen Unruh regt
Der Augen Uhrwerck nicht; Ihr Mund vermählt und hegt
Mit den Granaten nicht den Anmuths-Reitz zusammen.
Der Brüste Schneeberg ist kein Etna / weil von Flammen
Die Gipfel unbekrönt; ja kein tief Athem schwellt
Die lassen Bälg empor. Der Wangen Lilgen-Feld
Ist allzu sehr mit Röth und Rosen überstreuet.
","['Ich', 'schwere', ';', 'grosser', 'Fürst', ':', 'daß', 'itzt', 'mit', 'minderm', 'Lichte', 'Mir', 'Ambrens', 'Antlitz', 'spielt', '.', 'Der', 'Strahlen', 'Unruh', 'regt', 'Der', 'Augen', 'Uhrwerck', 'nicht', ';', 'Ihr', 'Mund', 'vermählt', 'und', 'hegt', 'Mit', 'den', 'Granaten', 'nicht', 'den', 'Anmuths-Reitz', 'zusammen', '.', 'Der', 'Brüste', 'Schneeberg', 'ist', 'kein', 'Etna', '/', 'weil', 'von', 'Flammen', 'Die', 'Gipfel', 'unbekrönt', ';', 'ja', 'kein', 'tief', 'Athem', 'schwellt', 'Die', 'lassen', 'Bälg', 'empor', '.', 'Der', 'Wangen', 'Lilgen-Feld', 'Ist', 'allzu', 'sehr', 'mit', 'Röth', 'und', 'Rosen', 'überstreuet', '.']",
462,IBRAHIM,,AMBRE,,,,LSch,positiv,107468,CATMA_F056BFC7-7721-4981-AC3D-ACBEF3783B52,19,Emotionen der Freude,positiv,107369,Freude,"Schweig Sechierpera! denn unsre Seel erfreuet /
Und unser Aug entzückt viel / was du Mängel nennst.","['Schweig', 'Sechierpera', '!', 'denn', 'unsre', 'Seel', 'erfreuet', '/', 'Und', 'unser', 'Aug', 'entzückt', 'viel', '/', 'was', 'du', 'Mängel', 'nennst', '.']",
463,,,,,,,LSch,positiv,108009,CATMA_9A87C91F-6DCC-4DA4-A077-CA327CD85AAF,106,Emotionen der Zuneigung,positiv,107469,Liebe,"Weil du das Zaubern nicht der blöden Augen kennst /
Den Balsam nicht geschmeckt / der von entflammten Wangen
Und ernsten Lippen schmiltzt; Du hast uns mehr gefangen /
Mehr unser Hertz verstrickt; nun du uns hast vermeint
Des Garnes zu befreyn: Welch Unstern aber scheint
Von dem Verhängnüß uns? daß unsrer Seele Brände
Bey ihr nur Eiß gebehrn? Auf! laß durch eigne Hände
Den Thamm / an welchem sich ihr Strom der Liebe stößt /
Von Grund-auß reissen ein! die Wurtzel / die uns flößt
Nur Gall ein / rotten auß / was uns entseelt / entseelen.
","['Weil', 'du', 'das', 'Zaubern', 'nicht', 'der', 'blöden', 'Augen', 'kennst', '/', 'Den', 'Balsam', 'nicht', 'geschmeckt', '/', 'der', 'von', 'entflammten', 'Wangen', 'Und', 'ernsten', 'Lippen', 'schmiltzt', ';', 'Du', 'hast', 'uns', 'mehr', 'gefangen', '/', 'Mehr', 'unser', 'Hertz', 'verstrickt', ';', 'nun', 'du', 'uns', 'hast', 'vermeint', 'Des', 'Garnes', 'zu', 'befreyn', ':', 'Welch', 'Unstern', 'aber', 'scheint', 'Von', 'dem', 'Verhängnüß', 'uns', '?', 'daß', 'unsrer', 'Seele', 'Brände', 'Bey', 'ihr', 'nur', 'Eiß', 'gebehrn', '?', 'Auf', '!', 'laß', 'durch', 'eigne', 'Hände', 'Den', 'Thamm', '/', 'an', 'welchem', 'sich', 'ihr', 'Strom', 'der', 'Liebe', 'stößt', '/', 'Von', 'Grund-auß', 'reissen', 'ein', '!', 'die', 'Wurtzel', '/', 'die', 'uns', 'flößt', 'Nur', 'Gall', 'ein', '/', 'rotten', 'auß', '/', 'was', 'uns', 'entseelt', '/', 'entseelen', '.']",
464,,,,,,,LSch,negativ,107812,CATMA_AC640D23-8FD4-409A-ADD8-719C5C7CC09E,19,Emotionen des Leids,negativ,107713,Leid,"Welch Unstern aber scheint
Von dem Verhängnüß uns? daß unsrer Seele Brände
Bey ihr nur Eiß gebehrn?","['Welch', 'Unstern', 'aber', 'scheint', 'Von', 'dem', 'Verhängnüß', 'uns', '?', 'daß', 'unsrer', 'Seele', 'Brände', 'Bey', 'ihr', 'nur', 'Eiß', 'gebehrn', '?']",
465,,,AMBRE,,,,LSch,negativ,108009,CATMA_9B561C29-A04D-40FA-A4E3-7B86FA0C8874,42,Emotionen der Ablehnung,negativ,107813,Abscheu,"Auf! laß durch eigne Hände
Den Thamm / an welchem sich ihr Strom der Liebe stößt /
Von Grund-auß reissen ein! die Wurtzel / die uns flößt
Nur Gall ein / rotten auß / was uns entseelt / entseelen.
","['Auf', '!', 'laß', 'durch', 'eigne', 'Hände', 'Den', 'Thamm', '/', 'an', 'welchem', 'sich', 'ihr', 'Strom', 'der', 'Liebe', 'stößt', '/', 'Von', 'Grund-auß', 'reissen', 'ein', '!', 'die', 'Wurtzel', '/', 'die', 'uns', 'flößt', 'Nur', 'Gall', 'ein', '/', 'rotten', 'auß', '/', 'was', 'uns', 'entseelt', '/', 'entseelen', '.']",
466,SISIGAMBIS,,,,,,LSch,positiv,108399,CATMA_B62411E3-6BF2-4D7F-ACAE-FC06B95E0D9A,33,Emotionen der Freude,positiv,108235,Freude,"Schaut / Schwestern / welch ein Licht steigt auß so finstern Hölen.
Die grosse Sultanin / die Ibrahim verschloß /
Weil sie mein Engel war / ist wieder frey und loß.","['Schaut', '/', 'Schwestern', '/', 'welch', 'ein', 'Licht', 'steigt', 'auß', 'so', 'finstern', 'Hölen', '.', 'Die', 'grosse', 'Sultanin', '/', 'die', 'Ibrahim', 'verschloß', '/', 'Weil', 'sie', 'mein', 'Engel', 'war', '/', 'ist', 'wieder', 'frey', 'und', 'loß', '.']",
467,SISIGAMBIS,,,,,,LSch,positiv,108399,CATMA_211FE713-A1F6-4B69-AD70-31A5DC1D39E7,20,Emotionen der Zuneigung,positiv,108303,Verehrung,"Die grosse Sultanin / die Ibrahim verschloß /
Weil sie mein Engel war / ist wieder frey und loß.","['Die', 'grosse', 'Sultanin', '/', 'die', 'Ibrahim', 'verschloß', '/', 'Weil', 'sie', 'mein', 'Engel', 'war', '/', 'ist', 'wieder', 'frey', 'und', 'loß', '.']",
468,FATIMA,,KIOSEM,,,,LSch,positiv,108463,CATMA_D2A1A723-1029-4BD6-8872-56157F33914A,9,Emotionen der Freude,positiv,108410,Freude,Dem Höchsten seys gedanckt: Sey tausendmal wilkommen!,"['Dem', 'Höchsten', 'seys', 'gedanckt', ':', 'Sey', 'tausendmal', 'wilkommen', '!']",
469,ALIMA,,,,,,LSch,positiv,108615,CATMA_D4413F32-E0AF-4DA5-8982-ED7200E98478,28,Emotionen der Zuneigung,positiv,108472,Verehrung,"Sey tausendmal geküßt und in den Arm genommen;
Der Himmel woll auch uns Ohnmächtigen verleihn:
Daß Kiosem uns mög ein Schirm / ein Engel seyn!
","['Sey', 'tausendmal', 'geküßt', 'und', 'in', 'den', 'Arm', 'genommen', ';', 'Der', 'Himmel', 'woll', 'auch', 'uns', 'Ohnmächtigen', 'verleihn', ':', 'Daß', 'Kiosem', 'uns', 'mög', 'ein', 'Schirm', '/', 'ein', 'Engel', 'seyn', '!']",
470,KIOSEM,,,,,,LSch,positiv,108729,CATMA_810C1A95-1C5C-45B3-B131-E5F1F3CB76F8,17,Emotionen der Zuneigung,positiv,108625,Liebe,"Seyd / liebsten Kinder auch mir tausendmal gegrüsset /
Und ihr holdreichen Zweig umbhalset und geküsset.","['Seyd', '/', 'liebsten', 'Kinder', 'auch', 'mir', 'tausendmal', 'gegrüsset', '/', 'Und', 'ihr', 'holdreichen', 'Zweig', 'umbhalset', 'und', 'geküsset', '.']",
471,"['ALIMA', 'FATIMA']",KIOSEM,,,,,LSch,negativ,108783,CATMA_0A539FDF-6BA9-4168-85C8-E3A8D83CAA72,11,Emotionen der Angst,negativ,108730,Angst,Doch was ficht euer Hertz für Furcht und Ohnmacht an?,"['Doch', 'was', 'ficht', 'euer', 'Hertz', 'für', 'Furcht', 'und', 'Ohnmacht', 'an', '?']",
472,"['ALIMA', 'FATIMA']",,,,,,LSch,negativ,108841,CATMA_3A8FE1C8-2C5D-4A9D-84F8-292EF3621EB7,10,Emotionen der Angst,negativ,108794,Verzweiflung,Ein Kummer / welchen kaum die Zunge melden kan.,"['Ein', 'Kummer', '/', 'welchen', 'kaum', 'die', 'Zunge', 'melden', 'kan', '.']",
473,,,,,,,LSch,negativ,109021,CATMA_D483F746-3AE7-442D-9F84-A02E3E7E500A,35,Emotionen des Leids,negativ,108851,Leid,"Ein Schmertz / der nebelt auß in Wortte / Säufzer / Zehren /
Erleichtert Hertz und Brust. Wolln sie sich nun beschweren
Ihr Leid uns zu erzehln / bin ich zu helffen dar.
","['Ein', 'Schmertz', '/', 'der', 'nebelt', 'auß', 'in', 'Wortte', '/', 'Säufzer', '/', 'Zehren', '/', 'Erleichtert', 'Hertz', 'und', 'Brust', '.', 'Wolln', 'sie', 'sich', 'nun', 'beschweren', 'Ihr', 'Leid', 'uns', 'zu', 'erzehln', '/', 'bin', 'ich', 'zu', 'helffen', 'dar', '.']",
474,ALIMA,,,,,,LSch,negativ,109074,CATMA_24FEEF9B-FDEF-44B2-8370-A1B9D4746BF3,9,Emotionen der Angst,negativ,109030,Verzweiflung,Ach! diese Kinder stehn in euserster Gefahr.,"['Ach', '!', 'diese', 'Kinder', 'stehn', 'in', 'euserster', 'Gefahr', '.']",
475,KIOSEM,,,,,,LSch,negativ,109130,CATMA_92C4CEB9-0371-4C7B-8480-B64295251AF6,9,Emotionen der Ablehnung,negativ,109084,Abscheu,"Von welchem Tyger ist ihr Unheil zu besorgen.
","['Von', 'welchem', 'Tyger', 'ist', 'ihr', 'Unheil', 'zu', 'besorgen', '.']",
476,,,,,,,LSch,negativ,109189,CATMA_AF6179BE-1AE9-426B-8570-A118D143D7F2,11,Emotionen der Angst,negativ,109139,Verzweiflung,"Der Himmel weiß es nur / uns aber ists verborgen.
","['Der', 'Himmel', 'weiß', 'es', 'nur', '/', 'uns', 'aber', 'ists', 'verborgen', '.']",
477,"['ALIMA', 'FATIMA']",,,,,,LSch,negativ,109246,CATMA_00B37502-8161-4729-857A-F5BE2D586EEB,9,Emotionen des Leids,negativ,109198,Leid,Legt mir was deutlicher des Hertzens Kummer auß.,"['Legt', 'mir', 'was', 'deutlicher', 'des', 'Hertzens', 'Kummer', 'auß', '.']",
478,,,,,,,LSch,negativ,109356,CATMA_6C9E19EC-D9B2-4DA5-A13B-309078B7956E,19,Emotionen der Angst,negativ,109255,Verzweiflung,"Uns beyden hat geträumt: wie ein erzürnter Strauß
Sich mit geharnschter Klau uns sie zu rauben mühe.
","['Uns', 'beyden', 'hat', 'geträumt', ':', 'wie', 'ein', 'erzürnter', 'Strauß', 'Sich', 'mit', 'geharnschter', 'Klau', 'uns', 'sie', 'zu', 'rauben', 'mühe', '.']",
479,"['ALIMA', 'FATIMA']",KIOSEM,,,,,LSch,negativ,109549,CATMA_68E1AF74-3625-488C-9C8B-ABD820186A4D,9,Emotionen des Leids,negativ,109500,Leid,"Gewiß / der Himmel dreut ein unvermeidlich Leid.
","['Gewiß', '/', 'der', 'Himmel', 'dreut', 'ein', 'unvermeidlich', 'Leid', '.']",
480,,,,Ereignis,,,LSch,negativ,109613,CATMA_B191CD2F-E208-4B3A-A6D2-153B8D8D017C,11,Emotionen der Angst,negativ,109557,Verzweiflung,Mein Hertze bebt und schlägt / mit zittern alle Glieder.,"['Mein', 'Hertze', 'bebt', 'und', 'schlägt', '/', 'mit', 'zittern', 'alle', 'Glieder', '.']",
481,,,,,,,LSch,negativ,110015,CATMA_5718AF43-E6B4-453D-BB28-8AD04A932CD3,21,Emotionen des Leids,negativ,109913,Leid,"so lange daß uns Hertz
Und Athem schon gebrach / und von so herbem Schmertz
Uns hieng die Ohnmacht zu;","['so', 'lange', 'daß', 'uns', 'Hertz', 'Und', 'Athem', 'schon', 'gebrach', '/', 'und', 'von', 'so', 'herbem', 'Schmertz', 'Uns', 'hieng', 'die', 'Ohnmacht', 'zu', ';']",
482,,,,,,,LSch,negativ,110292,CATMA_0FEAEA8C-8CFD-4373-85B8-ED64A0ABE830,21,Emotionen des Leids,negativ,110192,Leid,"Ach! leider / dieser Strauß
Ist unser Sultan selbst; ich aber leider! werde
Die frembde Taube seyn!
","['Ach', '!', 'leider', '/', 'dieser', 'Strauß', 'Ist', 'unser', 'Sultan', 'selbst', ';', 'ich', 'aber', 'leider', '!', 'werde', 'Die', 'frembde', 'Taube', 'seyn', '!']",
483,,,,,,,LSch,negativ,110523,CATMA_62156D8A-EE42-409D-934E-09F6AD4472FC,28,Emotionen des Leids,negativ,110388,Leid,"Laßt diese Thränen mir; der Hülf und Rath gebricht
Der Kinder (die fast eh unseelig als gebohren/)
Schutz / Schirm und Schild zu seyn.
","['Laßt', 'diese', 'Thränen', 'mir', ';', 'der', 'Hülf', 'und', 'Rath', 'gebricht', 'Der', 'Kinder', '(', 'die', 'fast', 'eh', 'unseelig', 'als', 'gebohren/', ')', 'Schutz', '/', 'Schirm', 'und', 'Schild', 'zu', 'seyn', '.']",
484,KIOSEM,,,,,,LSch,Emotionale Bewegtheit,110919,CATMA_D6180E7D-DDCE-498E-AF81-ABEB2DD6EEBB,74,Emotionale Bewegtheit,Emotionale Bewegtheit,110533,Emotionale Bewegtheit,"Habt ihr den Witz verlohren?
Daß ihr euch gutte Träum auß thörchtem Irrthumb legt
Zu eurem Unheil auß? Wahr ists: der Himmel pflegt
Durch Träum uns künftig Glück und Fall zu offenbaren.
Ihr aber ziht den Traum auf Deutung mit den Haaren.
Warumb muß euer Strauß des Sultans Vorbild seyn /
Der seinen Kindern selbst die Klauen setzet ein?
Warumb sol Taub und Traum auf Sisigamben zielen?
","['Habt', 'ihr', 'den', 'Witz', 'verlohren', '?', 'Daß', 'ihr', 'euch', 'gutte', 'Träum', 'auß', 'thörchtem', 'Irrthumb', 'legt', 'Zu', 'eurem', 'Unheil', 'auß', '?', 'Wahr', 'ists', ':', 'der', 'Himmel', 'pflegt', 'Durch', 'Träum', 'uns', 'künftig', 'Glück', 'und', 'Fall', 'zu', 'offenbaren', '.', 'Ihr', 'aber', 'ziht', 'den', 'Traum', 'auf', 'Deutung', 'mit', 'den', 'Haaren', '.', 'Warumb', 'muß', 'euer', 'Strauß', 'des', 'Sultans', 'Vorbild', 'seyn', '/', 'Der', 'seinen', 'Kindern', 'selbst', 'die', 'Klauen', 'setzet', 'ein', '?', 'Warumb', 'sol', 'Taub', 'und', 'Traum', 'auf', 'Sisigamben', 'zielen', '?']",
485,FATIMA,,,,,,LSch,negativ,111240,CATMA_E2DDE964-7F04-4642-A6EA-0E3D5746D784,58,Emotionen der Angst,negativ,110929,Verzweiflung,"Kommt es ihr frembde für: daß sich die Fürsten kühlen
Mit ihrer Kinder Blutt? Wie lang ists: daß Verdacht
Des Mahumets hat Sohn und Mutter umbgebracht?
Der grosse Suleiman115

 hat selbst sich hoch beflecket
Durch zweyer Söhne Tod. Und wessen Macht sonst strecket
Sich ausser ihm so weit die Kinder zu versehrn?","['Kommt', 'es', 'ihr', 'frembde', 'für', ':', 'daß', 'sich', 'die', 'Fürsten', 'kühlen', 'Mit', 'ihrer', 'Kinder', 'Blutt', '?', 'Wie', 'lang', 'ists', ':', 'daß', 'Verdacht', 'Des', 'Mahumets', 'hat', 'Sohn', 'und', 'Mutter', 'umbgebracht', '?', 'Der', 'grosse', 'Suleiman115', 'hat', 'selbst', 'sich', 'hoch', 'beflecket', 'Durch', 'zweyer', 'Söhne', 'Tod', '.', 'Und', 'wessen', 'Macht', 'sonst', 'strecket', 'Sich', 'ausser', 'ihm', 'so', 'weit', 'die', 'Kinder', 'zu', 'versehrn', '?']",
486,,,,,,,LSch,negativ,111506,CATMA_B055B483-DD20-44A1-82E3-51C7DC8EACC2,36,Emotionen der Ablehnung,negativ,111306,Abscheu,"Der unterm Mustaffa / umb sich am höchsten Brette
Des Käyserthumbs zu sehn / längst außgetilget hätte
Mit meiner Söhne Fall des Oßmanns gantzes Hauß;
Hätt ich dem Hunde nicht das Schwerd gewunden auß.","['Der', 'unterm', 'Mustaffa', '/', 'umb', 'sich', 'am', 'höchsten', 'Brette', 'Des', 'Käyserthumbs', 'zu', 'sehn', '/', 'längst', 'außgetilget', 'hätte', 'Mit', 'meiner', 'Söhne', 'Fall', 'des', 'Oßmanns', 'gantzes', 'Hauß', ';', 'Hätt', 'ich', 'dem', 'Hunde', 'nicht', 'das', 'Schwerd', 'gewunden', 'auß', '.']",
487,KIOSEM,,,,,,LSch,negativ,111580,CATMA_D3A0D310-8C72-4BDC-A98D-23074237BBE5,12,Emotionen der Ablehnung,negativ,111507,Abscheu,"Die Mutter Mustaffens nam selbst auch Mörderthaten
Auf sie vergebens für.","['Die', 'Mutter', 'Mustaffens', 'nam', 'selbst', 'auch', 'Mörderthaten', 'Auf', 'sie', 'vergebens', 'für', '.']",
488,ALIMA,,,,,,LSch,negativ,111728,CATMA_C6BD7E8A-16BF-4AF0-896E-6F2288DF2929,17,Emotionen der Angst,negativ,111652,Verzweiflung,"Gott steh auch diesen bey /
Und helffe: daß der Traum ein blosser Nebel sey!","['Gott', 'steh', 'auch', 'diesen', 'bey', '/', 'Und', 'helffe', ':', 'daß', 'der', 'Traum', 'ein', 'blosser', 'Nebel', 'sey', '!']",
489,FATIMA,,,,,,LSch,negativ,112084,CATMA_ACCAE105-CF4B-427E-974B-A89866733DFF,7,Emotionen der Angst,negativ,112056,Angst,Hilf Gott! der Sultan kommt.,"['Hilf', 'Gott', '!', 'der', 'Sultan', 'kommt', '.']",
490,ALIMA,,IBRAHIM,,,,LSch,positiv,112207,CATMA_304CB72D-2FCE-4BA7-AFBF-91D63847DED2,15,Emotionen der Zuneigung,positiv,112134,Verehrung,"Uns lässet Kiosem des Käysers Gnade wissen /
Die sie der Haft macht frey.","['Uns', 'lässet', 'Kiosem', 'des', 'Käysers', 'Gnade', 'wissen', '/', 'Die', 'sie', 'der', 'Haft', 'macht', 'frey', '.']",
