,start,end,id,tag_type_id,tag_type_speech,catma_markupauthor,catma_markuptimestamp,catma_displaycolor,path,text,base_polarity,main_emotion_class,tag_type,Drama
492,69626,69719,,,,,,,," O! ja! – aber es wird nur auf Sie ankommen, allen diesen Herren lange Nasen zu drehen – 

",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
494,69767,69916,,,,,,,," Der Spring ins Feld ist durch und durch Wind, und hat kein Geld – Graf Blaufink ist 
krumm, an Leib und Seel, und also nicht für diese Dame! – 

",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
497,70132,70317,,,,,,,,") Madame hier hab 
ich das Vergnügen, Ihnen in dem Freyherrn von Lindenthal einen der reichsten Cavalliere, den feu-
rigsten Verehrer der weiblichen Schönheit aufzuführen! – 

MAD. ",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
498,70326,70461,,,,,,,," (Mit einem affektirten Complement) Es ist mir ein großes Vergnügen einen so reichen 
und vornehmen Cavallier kennen zu lernen! – 

",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
500,70555,70831,,,,,,,," Ich würde es herzlich erlauben – aber ich hab gar einen abscheulich eifersüchtigen 
Mann; – so müßen auch die Herrn, wenn sie mich sehen wollen – entweder in die Kirche, oder zu 
meiner Mama 
 

kommen – und die wird auch Ihnen Gelegenheit schaffen mich zu sehen! – 

",positiv,Emotionen der Zuneigung,Liebe,Mandoletti
501,70837,70920,,,,,,,," Allerliebst! – aber ich habe die Ehre nicht, Ihre Frau Mama zu kennen! – 

MAD. ",positiv,Emotionen der Freude,Freude,Mandoletti
502,70929,71071,,,,,,,," Der Herr v. Klinger wird schon die Güte haben – Sie dort aufzuführen – und den 
reichen Herrn v. Katzenbalg kennt ja die ganze Stadt! – 

",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
503,71077,71122,,,,,,,," Von Katzenbalg – Ihre Frau Mama? – 

MAD. ",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
505,71298,71314,,,,,,,," So? – 

MAD. ",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
506,71323,71369,,,,,,,," Sie werden doch auch dabey erscheinen? – 

",positiv,Emotionen der Freude,Freude,Mandoletti
507,71375,71500,,,,,,,," Wenn ich die Ehre haben werde, dazu geladen zu werden, werde ich des Vergnügens nicht 
entbehren, Sie zu sehen! – 

MAD. ",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
508,71509,71877,,,,,,,," O! da will ich gleich zu meiner Mama fahren, und für Sie Billets hohlen – doch wis-
sen Sie was Herr Baron, fahren Sie mit mir! – 

                                                 
37 mon a imable  deesse| ‹franz. mon aimable déesse› meine liebenswürdige Göttin 
38 Chapeaux| Chapeau, ‹phon. Schapo› – Herr, Liebhaber, Begleiter (MGKL, AW 152) 



  

 
",positiv,Emotionen der Freude,Freude,Mandoletti
509,71883,71924,,,,,,,," Herzlich gerne meine schöne Frau! – 

",positiv,Emotionen der Freude,Freude,Mandoletti
511,71996,72107,,,,,,,," Nu Mesieurs! (zu den Uebrigen) Auf Wiedersehen! (sie nimmt den Baron untern Arm) 
Kommen Sie Herr Baron! 

",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
512,72113,72243,,,,,,,," (Küßt ihr die Hand) Wahrhaftig die Kunst Ihres Anzugs scheint mit Ihren natürlichen Reitzen 
um die Wette zu streiten. 

MAD. ",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
517,72532,72766,,,,,,,," Hat ihn der Teufel schon wieder im Bandel – mir ist nur um meine 200 Dukaten! – (Die Uebri-
gen zahlen ihre Zeche, was sie an Zuckergeback verzehrt haben, der Chevalier will sich davon schleichen, ein Koch 
erwischt ihn aber.) 

",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
519,72834,72899,,,,,,,," Bezahl? – bezahl? – quelle Impertinence – ik ab son bezahl! 

",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
521,72949,73003,,,,,,,," Que m’importe39 – ik nit bezahlen dopvelt [!]! – 

",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
522,73008,73091,,,,,,,," Wenns nur erst einfach geschehen ist – Sie bezahlen 2 Siebenzehner! – 
 

CHEV[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
523,73098,73172,,,,,,,," Lasse mik los – oder oder ik make die Spektakul – ik bin Cavallier – 

",negativ,Emotionen des Leids,Ärger,Mandoletti
524,73177,73231,,,,,,,," Cavallier hin oder her – der Herr bezahl! – 

CHEV[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
527,73486,73581,,,,,,,," Verdammter Lumpengesindl – mik so prostituir – (er will den Beutel geschwinde einstecken) 

",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
528,73588,73824,,,,,,,," Lumpengesindel? einen ehrlichen Burgers Mann? – wart ich will dichs lehren du Windbeutel – 
itzt bezahl, oder ich schlag dich blau! – (alle Köche und Köchinnen umrungen den Chevalier, der auf die Knie 
niederfällt und bitt) 

CHEV[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
529,73831,73910,,,,,,,," Ik bitten tausendmal um der Verzeihung – aber ik nit aben Geld bey mir! – 

",negativ,Emotionen des Leids,Leid,Mandoletti
530,73917,73960,,,,,,,," Was? – heraus mit die Dukaten! – 

CHEV[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
532,74050,74186,,,,,,,," Was – keine Dukaten also Dantes? Ih du Gottloßer Leutbetrüger – wart ich will dich lehren 
(zu den Leuten) nehmt ihm etwas weg! – 

",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
537,74645,74743,,,,,,,," Ah mon dieu ik bitt – bitten um alles in der Welt nur – nur lassen meiner Arbeutel! – 

ALLE KÖ",negativ,Emotionen des Leids,Leid,Mandoletti
539,74820,74906,,,,,,,," Ah verdammte Streik – itzt wo ik nehm Arbeutel – ah quelle Sottise!43 (lauft ab) 

",negativ,Emotionen des Leids,Ärger,Mandoletti
540,74913,75137,,,,,,,," Ha! – ha! – nicht übel – ein französischer Harbeutel, itzt da mach ich eine Kastrollpastete dar-
über, und gieb ihn heute beym Souppe als das vierte Eingemachte! – (alle lachen) 

Ende des ersten Aufzugs. 
 

ZWEYTER ",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
543,75250,75390,,,,,,,," (geht verdrüßlich auf und ab, Madame sitzt in einem Sessel) Ein für allemal ich kann diese 
Lebensart nicht länger dulden. 

MAD. BUCHW[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
544,75395,75435,,,,,,,," (hönisch) Diese Lebensart? – 

HERR [",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
545,75445,75503,,,,,,,," Diese Lebensart – ja Madame diese Lebensart! – 

MAD. [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
546,75513,75578,,,,,,,," Und was finden Sie denn gar so sehr an mir zu tadeln? 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
547,75588,75765,,,,,,,," Was? – alles in allem – ihr Aufstehen – ihr Schlafengehen, ihren Putz – ihre Sitten 
– kurz Madame sie müssen sich ändern – oder ich muß andere Mittel ergreiffen! – 

MAD. [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
548,75775,75969,,,,,,,," (ihm nachäffend) ändern – oder andere Mittel ergreiffen – nu das ist ja allerliebst – in 
der That mein Herr so viel ich 
 

merke, so stimmen Sie den Ton des Zuchtmeisters an! – 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
549,75979,76191,,,,,,,," Wenn Sie den Ton des ehrlichen Mannes dafür gelten lassen wollen – auch das 
Madame! Kurz von diesem Augenblick an ist mein ganzes Hauswesen geändert – und Sie müssen 
sich darnach bequemen – oder – 

MAD. [",negativ,Emotionen des Leids,Leid,Mandoletti
550,76201,76312,,,,,,,," Vollenden Sie nicht Ihre schrecklichen Drohungen – oder ich möchte sonst eine 
Ohnmacht kriegen! – 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
552,76407,76848,,,,,,,," Nu so lassen Sie nur einmal hören, wie sich denn dero veränderte Frau Gemahlin, 
nach Dero veränderten Hauseinrichtung benehmen muß! – Lassen Sie hören – ich will ihre Gebote 

                                                 
43 ah que l le  Sot t i se !| ‹franz.› Ah, was für eine Dummheit! 



  

 
in mein Souvenir44 einschreiben, und sie recht fleissig alle Morgen und Abend an meiner Toilette 
durchstudiren! – 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
553,76858,77072,,,,,,,," Sie sollen mich wahrlich nicht durch ihren Spott aufbringen – und ich will Ihnen 
mit wenigen Worten einen Vorgeschmack meiner neuen Einrichtung geben – Fürs erste hab ich ih-
ren Friseur abgedankt! – 

MAD. [",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
554,77082,77187,,,,,,,," (erschreckend) Meinen Friseur – Ach daß Gott erbarm! wer soll mich denn künftig 
frisiren? – 

HERR [",Emotionale Bewegtheit,Emotionen der Angst,Angst,Mandoletti
556,77260,77320,,,,,,,," (bitter) Nu gut – schon gut – nur weiter. 

HR. V. BUCHW[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
557,77325,77464,,,,,,,," Zweytens wird der Schneider kein Kleid mehr ohne mein Wissen machen – und 
Farb und Schnitt nebst Garnirung werde ich wählen! – 

MAD. ",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
558,77470,77579,,,,,,,,"45 (höhnisch lachend) Ha! ha! ha! – Lieber Mann, was Sie da nicht alles zu thun haben wer-
den! – 

HERR [",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
559,77589,77760,,,,,,,," Werd es schon nach meiner Zeit einzurichten wissen – Drittens werden Sie nie 
anders, als in meiner Begleitung zu Ihrer gnädigen Mama in Gesellschaft gehen! – 

MAD. [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
560,77770,77829,,,,,,,," (auffahrend) Wer kann mir das verbiethen? – 

HR. BUCHW[",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
561,77834,77891,,,,,,,," Der – der das Unglück hat ihr Mann zu seyn! – 

MAD. [",negativ,Emotionen des Leids,Leid,Mandoletti
562,77901,78138,,,,,,,," Mein Mann? – Sie mein Herr wollten mir verbiethen zu meiner Mutter zu gehen – 
sie zu besuchen? – das will ich sehen – das wird meine Mutter Ihnen zeigen! ob Sie das können – 
dürfen? ha! ha! ha! – Seht doch das Männchen! – 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
563,78148,78268,,,,,,,," Das soll auch das Weibchen erfahren!! Viertens werden Sie mir alle Tage den Kü-
chenzettel selbst machen! – 

MAD. [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
564,78278,78406,,,,,,,," (zornig) Halten Sie ein mein Herr – Ihre Herabwürdigung geht zu weit; Sie wollen 
eine Sklavin aus mir machen! – 
 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
565,78416,78770,,,,,,,," Ich will ein braves Weib aus dir machen – das will ich Schätzchen – und das werd 
ich; mit Gutem oder Bösem, das Mittel gilt mir einerlei – wenn ich nur meinen Zweck erreiche! – 
und so hast du nun vorläufig einige Regeln – itzt wollen wir auch einen Theil der Ausübung vor-
nehmen – vor allen Dingen, diesen lächerlichen Kopfputz herab! – 

MAD. [",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
566,78780,78847,,,,,,,," Was? – wie – meine Frißur derangiren? bist du ein Narr? 

HERR [",negativ,Emotionen der Ablehnung,Angst,Mandoletti
568,78958,79016,,,,,,,," Aber bedenk nur, was die Leute sagen werden! – 

HERR [",negativ,Emotionen der Angst,Angst,Mandoletti
570,79120,79187,,,,,,,," Nein das ist zu toll! – Mann du gehörst ins Narrenhaus! 

HERR [",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
573,79531,79962,,,,,,,," (Ganz gelassen und scherzhaft geht hin, führt sie zur Toilette, setzt sie nieder, hält sie mit einer 

Hand bey der Hand, und räumt ihr mit der andern Hand den Kopf ab) Ich sehe schon, Sie wollen mich zum 
Kammerdiener – kann Ihnen ja wohl auch diesen Gefallen erweisen – Sehn 
 

Sie ich weiß gut damit umzugehen! – so! – Nun sind Sie noch einmal so liebenswerth – nun will ich 
Sie küssen! (er will sie küssen) 

MAD. [",positiv,Emotionen der Freude,Freude,Mandoletti
574,79972,80113,,,,,,,," (stößt ihn von sich) gehn Sie mir aus den Augen – Sie Qualgeist!! – nein, das ist nicht 
auszuhalten – ich möchte rasend werden. 

HERR [",negativ,Emotionen des Leids,Leid,Mandoletti
575,80123,80410,,,,,,,," Um alles in der Welt Willen das müssen Sie nicht – ich möchte mich noch lange 
nicht von Ihnen scheiden lassen – Also bitt ich den Schmink abzuputzen! – Sie wollen meine Hilfe? 
- meinetwegen – (er geht zu ihr, hält ihr beide Hände, und wischt ihr den Schmink vom Gesicht.) 

MAD. [",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
576,80420,80524,,,,,,,," (fängt an heftig zu schreyen) He zu Hilfe! – zu Hilfe! – mein Mann will mich umbrin-
gen! – 

HERR [",negativ,Emotionen der Angst,Verzweiflung,Mandoletti
577,80534,80666,,,,,,,," Schreyen Sie nur – es wird niemand kommen, denn man glaubt ihnen nicht – die 
Leute wissen ja, wie gern ich Sie habe! – 

MAD. [",positiv,Emotionen der Zuneigung,Schadenfreude,Mandoletti
578,80676,80941,,,,,,,," (reißt sich los und wirft sich in einen Sessel) Nein so was ertrag ich nimmermehr – (plötz-
lich aufspringend) Kurz mein Herr, morgen laß ich mich von Ihnen scheiden – heute noch will ich 
Anzeige machen, wie Sie mich tractiren – Sie gottloser Mann! – 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
579,80951,81142,,,,,,,," Nicht doch Madame – schonen Sie doch Ihrer Lunge! – Sie müssen mich bey Lei-
be nicht verklagen – Nein – nein – das 
 

werden Sie ja nicht – ich kenne Ihr treffliches Herz! – 

MAD. [",positiv,Emotionen der Zuneigung,Leid,Mandoletti
580,81152,81459,,,,,,,," Nein! Sie sollen nicht einmal das Vergnügen haben, mich durch ihren Spott zu 
quälen – lachen – auslachen will ich Sie, und Ihnen alles doppelt zu Fleiß thun – und damit Sie’s nur 
sehn – so fahr ich auf der Stelle zu meiner Mutter und die wird mit Ihnen aus einem ganz andern 
Tone sprechen! 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
581,81469,81701,,,,,,,," Ey was Sie mir nicht sagen – aber ich bedaure nur, daß Sie nicht zu der gnädigen 
Frau Mama fahren können – denn während wir mitsamen unsere neue Einrichtung verabredeten – 
sind meine Pferde und mein Wagen verkauft! – 

MAD. [",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
582,81711,81841,,,,,,,," Wer – verkauft – unerhört – o es ist ganz sicher, Sie bringen mich noch um! – ver-
kauft! – Roß und Wagen verkauft! – 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
583,81851,82048,,,,,,,," Roß und Wagen verkauft – Friesur und Kammermädchen abgedankt – Dinees 
und Souppees abgeschafft – Bälle und Spiele verbothen – das ist alles in der veränderten Lebensart 
begriffen! – 

MAD. [",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
584,82058,82300,,,,,,,," (Geht weinend mit gefaltenen Händen umher) Ich möchte rasend werden – so herabge-
würdiget – so beschimpfet; ich – die ich auf die Hand eines Grafens Ansprüche machen könnte – 
was bin ich nun? – Ein elendes Kaufmannsweib!! – 
 

HERR [",negativ,Emotionen des Leids,Leid,Mandoletti
585,82310,82518,,,,,,,," (vom Affect überracht) Elendes Kaufmannsweib? Ha Weib! – laß dirs nicht gelüsten 
mich da anzugreifen (nach einer Pause) Kurz und gut! – es ist mein Wille, du mußt so leben, und nicht 
anders! – 

MAD. [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
586,82528,82691,,,,,,,," (wirft sich in einen Stuhl) Schon gut! – ich will das Ding schon umkehren – wollen 
doch sehen, ob sich das gemeine Volk so am Adel vergreifen darf. – 

HERR [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
587,82701,82963,,,,,,,," Was das Volk gegen den Adel darf? – weiß ich nicht! – was der Mann gegen ein 
närrisches Weib darf, sollen Sie, Madame sehen! – Gott befohlen! (er geht ab, und schlüßt die Thüre zu) 



  

 

Zweyter Auftritt. 

Madame BUCHWALD (allein) 

[MADAME ",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
588,82972,83907,,,,,,,,"] Gerechter Himmel! er sperrt mich ein! – o der grausame unbarmherzige Mann 
– mich so zu behandeln! – mich! – (weinend) Nein das kann ich nicht mehr aushalten – da müssen 
sich meine Eltern um mich annehmen, ja aber wie komm ich hin? – (sie geht an die Thüre und versuchts) 
alles verschlossen! – He zu Hülfe! – ist niemand da? – Niemand hört mich – he! holla Leute – Be-
diente! – er hat wohl gar alle weggeschickt – das Ungeheuer, der Mörder! – 
 

O! alles empört sich in mir, wenn ich mich nur rächen könnte – (läuft herum) aber nirgends aus! – (im 
heftigsten Zorn, wirft den Spiegel des Toilets um) – Alles will ich zerschlagen, zerschmettern – Schade nur, 
daß kein Porcellain im Zimmer ist! – Es bleibt mir nichts anders übrig, als mich aus Zorn umzu-
bringen – oder – zu weinen! (sie wirft sich in Sessel und weint) 

Dritter Auftritt. 

Fr. v. KATZENBALG, CHEVALIER und GRAF BLAUFINK vor der Thüre. 

FR. V. ",negativ,Emotionen des Leids,Leid,Mandoletti
589,83918,83998,,,,,,,," Sie ist zu Hause! sagte man uns am Thor, und ich finde Sie nirgends! – 

GR. ",negativ,Emotionen des Leids,Leid,Mandoletti
592,84127,84195,,,,,,,," Ach höre ich recht, die Stimme meiner Mutter! – 

FR. V. KATZENB[",positiv,Emotionen der Freude,Freude,Mandoletti
594,84290,84509,,,,,,,," (gegen die Thür springend) Ihro Gnaden ich bin da, er hat mich eingesperrt – ach hel-
fen Sie mir – retten Sie mich! o! ich überleb den Schimpf nicht! – 
 

ALLE VOR DER THÜR. Was eingesperrt? – 

FR. V. KATZENB[",negativ,Emotionen des Leids,Leid,Mandoletti
595,84514,84603,,,,,,,," Wer hat sich das unterstanden? – wer dürfte sich das wohl unterstehen? – 

MAD. BUCHW[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
596,84608,84741,,,,,,,," Mein Mann – mein gottloser Mann! – o! und wenn Sie mir nicht bald helfen – so 
untersteht er sich noch mehr!! – 

FR. V. KATZENB[",negativ,Emotionen des Leids,Leid,Mandoletti
597,84746,85088,,,,,,,," Dein Mann? – dein Mann sagst du? – ist das möglich? nein den Schimpf muß 
deine ganze Familie rächen! – ich will gleich nach dem Schlosser schicken – die Thür will ich ein-
sprengen – das Haus will ich anzünden! – stürmen will ich die ganze Stadt – und vertilgen die ganze 
Bürgersbrut! – Ach wenn ich nur zu dir hinein könnte! – 

GR. ",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
600,85319,85416,,,,,,,," Einen Passe part tout – o! lieber göttlicher Chevalier! versuchen Sie es doch! – 

MAD. BUCHW[",positiv,Emotionen der Freude,Freude,Mandoletti
601,85421,85835,,,,,,,," Sie sollen sich selbst einen Preiß meiner Dankbarkeit wählen – wenn Sie mich 
dießmal befreyen Chevalier! – 

                                                 
46 Que d iab le| ‹franz.› Zum Teufel 
47 Ah at tendes un pe t i t  moment !| ‹franz. Ah attendez un petit moment!› Ah, warten Sie einen kleinen Moment! 
48 Passe  par  tou t| ‹franz.› Haupt- bzw. Universalschlüssel, Dietrich 



  

 
CHEV[",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
602,85842,85917,,,,,,,," Patience mon Coeur49 – ik woll probir – ah fort bien!50 es geht! – 
 

",positiv,Emotionen der Freude,Freude,Mandoletti
603,85922,85962,,,,,,,," Es geht! – Bravo, bravissimo! 

CHEV[",positiv,Emotionen der Freude,Freude,Mandoletti
604,85969,86112,,,,,,,," (öffnet die Thüre, die Mutter stürzt herein, umarmt ihre Tochter – die beiden Herrn küssen ihr wechsel-
weise die Hände,) 

FR. V. KATZENB[",positiv,Emotionen der Freude,Freude,Mandoletti
605,86117,86179,,,,,,,," Nun soll er dich aus meinen Händen fordern! – 

DIE BEIDEN ",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
606,86183,86257,,,,,,,," Wir sind bereit Sie mit unserm Leben zu vertheidigen! 

FR. V. KATZENB[",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
607,86262,86424,,,,,,,," Aber um des Himmelswillen Janette wie siehst du aus? die Haare alle in de-
sordres – die Augen völlig wundgeweinet – Kind was hats da gegeben? – 

MAD. BUCHW[",negativ,Emotionen des Leids,Mitleid,Mandoletti
608,86429,86541,,,,,,,," O! Spektakel über die Sie erschrecken werden! – Alles das Werk meines Herrn 
Ehegemahls! – 

FR. V. KATZENB[",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
609,86546,86637,,,,,,,," Deines Mannes? – ihr habt euch doch nicht so weit zum Pöbel erniedriget? – 

MAD. BUCHW[",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
610,86642,86753,,,,,,,," O! ich möchte vergehen, wenn ich Ihnen alles wiederholte! – Friseur, Kammer-
mädchen hat er abgedankt! – 

",negativ,Emotionen des Leids,Leid,Mandoletti
611,86758,86780,,,,,,,," Abgedankt? 

MAD. [",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
612,86790,86831,,,,,,,," Ball, Spiel, und Soupé verbothen! – 

",negativ,Emotionen des Leids,Leid,Mandoletti
613,86836,86858,,,,,,,," Verbothen? 

MAD. [",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
614,86868,86917,,,,,,,," O! nun kömmt erst gar was Schreckliches! –  

",negativ,Emotionen des Leids,Leid,Mandoletti
615,86922,86940,,,,,,,," Nu? 
 

MAD. [",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
616,86950,86996,,,,,,,," Stellen sie sich vor! – Roß und Wagen, – 

",negativ,Emotionen des Leids,Leid,Mandoletti
617,87001,87029,,,,,,,," Roß und Wagen, – 

MAD. [",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
618,87039,87063,,,,,,,," Hat er verkauft! – 

",negativ,Emotionen des Leids,Leid,Mandoletti
619,87068,87100,,,,,,,," Verkauft? – 

FR. V. KATZENB[",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Mandoletti
620,87105,87259,,,,,,,," Verkauft? – nein das ist ohnmöglich, er mußte ja närrisch seyn – nein so kann er 
uns nicht beschimpfen, daß er dich zu Fuß gehen lassen darf. 

CHEV[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
621,87266,87317,,,,,,,," Das wäre ja eine entsetzliche Sotise51! 

MAD. [",negativ,Emotionen des Leids,Leid,Mandoletti
623,87377,87785,,,,,,,," Ha maroufle! – das sollst du büssen – Janette verlasse dich auf meine Rache! – 
vor allen kömmst du mit uns – wir haben sich zu einer Parthie tre fette bis zur Akademie hohlen 
wollen, da du aber so derangirt bist, so ist das vornehmste, daß du dich anderst ankleidest, du mußt 
heute sowohl bei der Akademie als auch auf dem Ball der brillanteste Kopf seyn – und das deinem 
Manne zum Trotz! – 

GR. ",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
624,87794,87980,,,,,,,," Ich schwör Ihnen Madame bey dem Gürtel der Venus52, sie sollen an Ihrem lächerli-
chen Epoux53 bitter gerochen werden – wenn Sie mir Ihre Rechte anvertrauen wollen. 

FR. V. KATZENB[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
626,88464,88652,,,,,,,," Ihm zum Trotz sollen Sie statt mit 2 Pferden mit 4 fahren, sollen ihm zum Trotz, Fri-
seur, Kammerdiener, Kammerjungfer, und alles haben, was Sie sich nur wünschen! – 

FR. V. KATZENB[",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
627,88657,88755,,,,,,,," Ja liebes Kind ihm zum Trotz nimms an – und übergieb deine Sache dem Gra-
fen! – 

MAD. BUCHW[",positiv,Emotionen der Freude,Freude,Mandoletti
628,88760,88855,,,,,,,," Mein Gott ich fürchte nur das Uebel ärger zu machen – Sie kennen ihn ja! – 

FR. V. KATZENB[",negativ,Emotionen der Angst,Angst,Mandoletti
629,88860,89101,,,,,,,," Was ärger machen! – kannst du das? – du mußt dich rächen, das will deine ge-
kränkte Ehre – das will dein Adel – das will ich – und um dir ja keine Zeit  zum Ueberlegen zu las-
sen, so mußt du gleich itzt mit uns fahren! – 

DIE BEYDEN ",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
630,89107,89138,,,,,,,," Ja! ja! mit uns! –  

MAD. [",positiv,Emotionen der Freude,Freude,Mandoletti
632,89192,89325,,,,,,,," Zu mir nach Hause! – dich anders ankleiden – du siehst ja aus – wie – Gott ver-
zeih mir’s ein Bürgersweib! ohne Frisur! 

MAD. [",negativ,Emotionen des Leids,Mitleid,Mandoletti
633,89335,89529,,,,,,,," (erschreckend) Zu Ihnen gnädige Mama? – Ach! bedenken Sie doch, wenn er mich 
bey Ihnen fände, und suchen wird er mich da gewiß am ersten – was das für einen Aufxritt gäbe. 

FR. V. KATZENB[",negativ,Emotionen der Angst,Angst,Mandoletti
634,89534,89955,,,,,,,," Ha! ha! ha! – Er sollte sich nur so etwas in meiner Gegenwart 
 

unterstehen – wollts ihn schon lehren – doch ich habe einen Einfall – hier ist der Schlüssel für das 
bestellte Extrazimmer im Cassino! – dorthin werden wir dich bringen, ich schicke sogleich Frisuer 
und Kammerjungfer nach, die dich ankleiden! – itzt kein Wort Einrede! Der Graf und Chevalier 
werden dich dort schon unterhalten! – 

MAD. BUCHW[",positiv,Emotionen der Freude,Freude,Mandoletti
635,89960,90040,,,,,,,," (unschlüssig) aber – die Etiquette! – ich mit zwey Männern. 

FR. V. KATZENB[",negativ,Emotionen der Angst,Angst,Mandoletti
637,90191,90282,,,,,,,," Parole d’honneur54 – Sie sollen grochen seyn, daß Sie eine Freude daran haben! – 

CHEV[",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
638,90289,90385,,,,,,,," Allons mon ange!55 – wir woll’n lehr ihr Mann mak Cabriole56! – ha! ha! ha! 

FR. V. KATZENB[",positiv,Emotionen der Freude,Schadenfreude,Mandoletti
639,90390,90489,,,,,,,," Komm nur und mach keine Ziererey – du mußt sich rächen – das fordert die 
Etiquette! – 

MAD. [",negativ,Emotionen der Ablehnung,Ärger,Mandoletti
640,90499,90655,,,,,,,," (im Abgehen zu ihrer Mutter) Ich habe mit dem lieben Baron Lindenthal auf dem Ball 
Rendezvous verabredet – daß es nur dabey bleibt! – 

FR. V. KATZENB[",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
647,91517,91668,,,,,,,," Das wäre freylich ganz artig, aber – es ist nur wegen Bemerkung vom Hausgesinde! – und 
wenn der Mann etwas davon erführe – o! da wäre es aus! – 

",negativ,Emotionen der Angst,Angst,Mandoletti
648,91675,91805,,,,,,,," Daß muß auch ein rechter Limmel von einem Mann seyn, der sich über einen Gespaß aufhält, 
wenn ein anderer mit ihr redt! 
 

",negativ,Emotionen der Ablehnung,Abscheu,Mandoletti
650,91896,91989,,,,,,,," Ich? – ha! ha! ha! – itzt gehen’s – Aber sagen’s mir doch zur Güte, wer ist sie denn? – 

",positiv,Emotionen der Freude,Freude,Mandoletti
651,91995,92088,,,,,,,," Hm! ein Bürgersweib – aber schön – schön wie ein Engel – fast so schön wie dein Weib! – 

",positiv,Emotionen der Zuneigung,Verehrung,Mandoletti
