 ,file,author,title0,title1,title2,date,date_written,date_print,date_premiere,when_0_textgrid,when_1_textgrid,notAfter_0_textgrid,notBefore_0_textgrid,notAfter_1_textgrid,notBefore_1_textgrid,genretitle,genre classification,subgenre,Entstehung,Erstdruck,Sortierdatum,Uraufaufführung,UAOrt,UABühne,UATruppe,Dramatis_Personae,act_count,scene_count,l_count,lg_count,p_count
376,GerDracor/kotzebue-der-freimaurer.xml,"Kotzebue, August von",Der Freimaurer,Lustspiel in Einem Act,"August von Kotzebue: Der Freimaurer. Lustspiel in Einem Act. In: Almanach
 Dramatischer Spiele zur geselligen Unterhaltung auf dem Lande. Sechzehnter Jahrgang.
 Leipzig: P. G. Kummer 1818, S. 47–92.",1817,,1818,1817,,,,,,,Lustspiel,K,,,1818,1818,,,,,,,,,,
261,GerDracor/kind-der-freischuetz.xml,"Kind, Johann Friedrich",Der Freischütz,Romantische Oper in drei Aufzügen,"Carl Maria von Weber: Der Freischütz. Romantische Oper in drei Aufzügen, mit
 einer Einführung von Karl Schönewolf, Leipzig: Reclam, [o._J.].",1821,,,1821,,,,,,,Oper,S,,,,1821,18.06.1821,Berlin,Königliches Opernhaus,,no,3,20,608,135,295
389,GerDracor/hafner-der-furchtsame.xml,"Hafner, Philipp",Der Furchtsame,Ein Lustspiel in drey Aufzügen,"Dichtung aus Österreich. Anthologie in drei Bänden und einem Ergänzungsband,
 herausgegeben von Prof. Dr. Heinz Kindermann u.a., Wien und München: Österreichischer
 Bundesverlag für Unterricht, Wissenschaft und Kunst, 1966.",1764,,1764,1764,,,,,,,Lustspiel,K,,,1764,1764,01.09.1764,Wien,,,no,3,43,0,0,597
316,GerDracor/grillparzer-der-gastfreund.xml,"Grillparzer, Franz",Der Gastfreund,Trauerspiel in einem Aufzuge,"Franz Grillparzer: Sämtliche Werke. Ausgewählte Briefe, Gespräche, Berichte.
 Herausgegeben von Peter Frank und Karl Pörnbacher, München: Hanser,
 [1960–1965].",1818,1818,1822,1821,,,,,,,Trauerspiel,T,,,1822,1822,,,,,,,,,,
487,GerDracor/schlegel-der-geschaeftige-muessiggaenger.xml,"Schlegel, Johann Elias",Der geschäftige Müßiggänger,Ein Lustspiel,"Johann Elias Schlegel: Ausgewählte Werke. Herausgegeben von Werner Schubert,
 Weimar: Arion Verlag, 1963.",1743,,1743,,,,,,,,Lustspiel,K,ST,1741,1743,1743,,,,,no,5,44,20,4,1058
413,GerDracor/tieck-der-gestiefelte-kater.xml,"Tieck, Ludwig",Der gestiefelte Kater,"Ein Kindermärchen in drei Akten, mit Zwischenspielen, einem Prologe und
 Epiloge","Ludwig Tieck: Werke in vier Bänden. Nach dem Text der »Schriften« von 1828–1854,
 unter Berücksichtigung der Erstdrucke. Herausgegeben von Marianne Thalmann, Band 1–4,
 München: Winkler, 1963.",1844,,1797,1844,,,,,,,Märchen,K,,1796,1797,1797,20.04.1844,Berlin,Königliches Schauspielhaus,,no,3,14,47,11,789
329,GerDracor/goethe-der-grosskophta.xml,"Goethe, Johann Wolfgang",Der Großkophta,Ein Lustspiel in fünf Aufzügen,"Johann Wolfgang von Goethe: Berliner Ausgabe. Herausgegeben von Siegfried Seidel:
 Poetische Werke [Band 1–16]; Kunsttheoretische Schriften und Übersetzungen [Band
 17–22], Berlin: Aufbau, 1960 ff.",1791,,1792,1791,,,,,,,Lustspiel,K,,1791,1792,1792,17.12.1791,Weimar,Hoftheater,,no,5,37,16,4,897
,TextGrid/-Der_Held_des_Nordens.xml,"Fouqué, Friedrich de la Motte",Der Held des Nordens,"Friedrich de la Motte Fouqué: Ausgewählte Dramen und Epen. Herausgegeben von Christoph F. Lorenz, Hildesheim: Georg Olms AG, 1996 [Nachdruck der Ausgabe 1810].",,1777,,,,1996,,1843,1777,,,Drama,S,,,1810,1810,,,,,yes,15,0,9019,1730,269
,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml","Bostel, Lukas von","Der hochmütige, gestürzte und wieder erhabene Croesus","Reinhard Keiser: Der hochmütige, gestürzte und wieder erhabene Croesus. In einem Singe-Spiele, Hamburg: Friderich Conrad Greflinger, [1711], unpaginiert.",,1649,,,,1711,,1711,1649,,,Libretto,K,,,,1711,1711,Hamburg,Opernhaus am Gänsemarkt,,yes,3,0,1689,342,134
430,GerDracor/lenz-der-hofmeister.xml,"Lenz, Jakob Michael Reinhold",Der Hofmeister oder Vorteile der Privaterziehung,Eine Komödie,"Jakob Michael Reinhold Lenz: Werke und Schriften. Herausgegeben von Britta Titel
 und Hellmut Haug, Band 1–2, Stuttgart: Goverts, 1965–1966.",1778,,1774,1778,,,,,,,Komödie,K,,1772,1774,1774,22.04.1778,Hamburg,,,no,5,35,0,0,657
61,GerDracor/kotzebue-der-hyperboreische-esel.xml,"Kotzebue, August von","Der Hyperboreische Esel, oder Die heutige Bildung","Ein drastisches Drama und philosophisches Lustspiel für Jünglinge / In
 einem Aufzuge","August von Kotzebue: Theater. Rechtmäßige Original-Auflage, Leipzig: Verlag von
 Eduard Kummer und Wien: Ignatz Klang, 1840.",1799,,1799,1799,,,,,,,Lustspiel,K,,,1799,1799,,,,,no,0,12,0,0,321
138,GerDracor/quistorp-der-hypochondrist.xml,"Quistorp, Theodor Johann",Der Hypochondrist,Ein deutsches Lustspiel,"Die bürgerliche Gemeinschaftskultur der vierziger Jahre. Herausgegeben von Prof.
 Dr. Brüggemann, Leipzig: Verlag von Philipp Reclam jun., 1933 [Deutsche Literatur,
 Sammlung literarischer Kunst- und Kulturdenkmäler in Entwicklungsreihen. Reihe
 Aufklärung Band 6].",1745,,1745,,,,,,,,Lustspiel,K,ST,,1745,1745,,,,,no,5,32,27,3,978
80,GerDracor/lessing-der-junge-gelehrte.xml,"Lessing, Gotthold Ephraim",Der junge Gelehrte,Ein Lustspiel in drei Aufzügen,"Gotthold Ephraim Lessing: Werke. Herausgegeben von Herbert G. Göpfert in
 Zusammenarbeit mit Karl Eibl, Helmut Göbel, Karl S. Guthke, Gerd Hillen, Albert von
 Schirmding und Jörg Schönert, Band 1–8, München: Hanser, 1970 ff.",1748,,1754,1748,,,,,,,Lustspiel,K,ST,1747,1754,1754,Januar 1748,Leipzig,Neubersche Truppe,,no,3,42,20,5,1048
196,GerDracor/eichendorff-der-letzte-held-von-marienburg.xml,"Eichendorff, Joseph von",Der letzte Held von Marienburg,Trauerspiel,"Joseph von Eichendorff: Werke. Nach den Ausgaben letzter Hand unter Hinzuziehung
 der Erstdrucke herausgegeben von Ansgar Hillach, Bd. 1–3, München: Winkler, 1970
 ff.",1831,,1830,1831,,,,,,,Trauerspiel,T,,,1830,1830,27.02.1831,Königsberg,Stadttheater,,no,5,18,2863,536,73
464,GerDracor/meisl-der-lustige-fritz.xml,"Meisl, Karl","Der lustige Fritz oder Schlafe, Träume, stehe auf, kleide dich an und bessre dich!",Ein Märchen neuerer Zeit in zwei Aufzügen,"Das Wiener Volkstheater in seinen schönsten Stücken. Herausgegeben und
 eingeleitet von Gerhard Helbig, Leipzig: Dieterich’sche Verlagsbuchhandlung,
 1960.",1818,,1819,1818,1960,,1853,1775,,,Dramatisches Märchen,K,,,1819,1819,17.06.1818,Wien,Theater in der Leopoldstadt,,no,2,36,317,56,490
186,GerDracor/hippel-der-mann-nach-der-uhr.xml,"Hippel, Theodor Gottlieb von",Der Mann nach der Uhr oder Der ordentliche Mann,Lustspiel in einem Aufzuge,"Gottlieb Theodor von Hippel: Der Mann nach der Uhr. Herausgegeben von Erich
 Jenisch, Halle a.d.S.: Max Niemeyer Verlag, 1928.",1765,,1765,1765,,,,,,,Lustspiel,K,,,1765,1765,1765,Königsberg,Schuchsche Gruppe,,,,,,,
496,GerDracor/lessing-der-misogyn.xml,"Lessing, Gotthold Ephraim",Der Misogyn,Ein Lustspiel in drei Aufzügen,"Gotthold Ephraim Lessing: Werke. Herausgegeben von Herbert G. Göpfert in
 Zusammenarbeit mit Karl Eibl, Helmut Göbel, Karl S. Guthke, Gerd Hillen, Albert von
 Schirmding und Jörg Schönert, Band 1–8, München: Hanser, 1970 ff.",1748,1748,1755,,,,,,,,Lustspiel,K,,1748,1755,1755,,,,,no,3,23,0,0,477
136,GerDracor/cronegk-der-misstrauische.xml,"Cronegk, Johann Friedrich von",Der Mißtrauische,Ein Lustspiel in fünf Aufzügen,"Johann Friedrich von Cronegk: Der Misstrauische. Herausgegeben von Helmut Arntzen
 und Karl Pestalozzi, Berlin: Walter de Gruyter & Co., 1969.",1766,,1760,1766,,,,,,,Lustspiel,K,,,1764,1764,1766,Hamburg,,,no,5,35,0,0,749
382,GerDracor/schink-der-neue-doktor-faust.xml,"Schink, Johann Friedrich",Der neue Doktor Faust,"Eine Plaisanterie mit Gesang, in zwei Aufzügen","Schink, Johann Friedrich: Der neue Doktor Faust, eine Plaisanterie mit Gesang in
 zwei Aufzügen. In: Zum Behuf des Teutschen Teaters, Erster Beitrag, Graz:
 Widmannstädten, 1782, S. 303–337.",1782,,1782,,,,,,,,Drama,K,,,1782,1782,,,,,no,2,14,79,12,199
387,GerDracor/lenz-der-neue-menoza.xml,"Lenz, Jakob Michael Reinhold",Der neue Menoza oder Geschichte des cumbanischen Prinzen Tandi,Eine Komödie,"Jakob Michael Reinhold Lenz: Werke und Schriften. Herausgegeben von Britta Titel
 und Hellmut Haug, Band 1–2, Stuttgart: Goverts, 1965–1966.",1773,1773,1774,1963,,,,,,,Komödie,K,,1773,1774,1774,04.02.63,Frankfurt,Neue Bühne,,,,,,,
453,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"Müllner, Adolph",Der neun und zwanzigste Februar,Trauerspiel in einem Akt,"Spiele für die Bühne von Adolph Müllner. Erste Lieferung. Leipzig: Breitkopf und
 Härtel 1815, S. 3–78.",1812,,1815,1812,,,,,,,Trauerspiel,T,,,1816,1816,,,,,,,,,,
,TextGrid/-Der_niederlaendische_Bauer.xml,"Weise, Christian",Der niederländische Bauer,"Christian Weise: Ein wunderliches Schau-Spiel vom niederländischen Bauer. Herausgegeben von Harald Burger, Stuttgart: Philipp Reclam jun., 1969 [Universal-Biliothek Nr. 8317[2]].",,1642,,,,1969,,1708,1642,,,Schauspiel,K,,,1700,1700,,,,,yes,5,0,1000,75,441
106,GerDracor/beer-der-paria.xml,"Beer, Michael",Der Paria,Trauerspiel in einem Aufzuge,"Michael Beer: Sämmtliche Werke. Herausgegeben von Eduard von Schenk, Leipzig:
 F.A. Brockhaus, 1835.",1823,,1826,1823,,,,,,,Trauerspiel,T,,,1826,1826,22.12.1823,Berlin,,,no,0,13,892,140,0
410,GerDracor/ayrenhoff-der-postzug.xml,"Ayrenhoff, Cornelius von",Der Postzug oder die noblen Passionen,Ein Lustspiel in zween Aufzügen,"Cornelius von Ayrenhoff: Sämmtliche Werke. Neu verbesserte und vermehrte Auflage
 in sechs Bänden, Wien: Anton Pichler, 1802.",1769,,1769,,,,,,,,Lustspiel,K,,,1769,1769,,,,,no,2,28,0,0,727
349,GerDracor/eckartshausen-der-pudelhund.xml,"Eckartshausen, Karl von",Der Pudelhund,Ein Lustspiel in einem Aufzuge,"Der Pudelhund. Ein Lustspiel in einem Aufzuge, von K. von Eckartshausen. München,
 bey Joseph Lentner. 1800.",1800,,1800,,,,,,,,Lustspiel,K,,,1800,1800,,,,,,,,,,
197,GerDracor/auenbrugger-der-rauchfangkehrer.xml,"Auenbrugger, Leopold von",Der Rauchfangkehrer oder Die unentbehrlichen Verräther ihrer Herrschaften aus Eigennutz,Ein musikalisches Lustspiel in drey Aufzügen,"Antonio Salieri: Der Rauchfangkehrer, oder Die unentbehrlichen Verräther ihrer
 Herrschaften aus Eigennutz. Ein musikalisches Lustspiel in drey Aufzügen, aufgeführt
 am k. k. Nationaltheater, Wien: Logenmeister, 1781.",1781,,,1781,1781,,1781,1722,,,Lustspiel,K,,,,1781,30.04.1781,Burgtheater Wien,,,no,3,50,430,83,652
156,GerDracor/platen-der-romantische-oedipus.xml,"Platen, August von",Der romantische Ödipus,Ein Lustspiel in 5 Akten,"August von Platen: Die verhängnisvolle Gabel / Der romantische Ödipus. Neudruck
 der Erstausgaben, herausgegeben von Irmgard Denkler und Horst Denkler, Stuttgart:
 Philipp Reclam jun., 1979 [Universal-Bibliothek Nr. 118 [4]].",1855,,1829,1855,,,,,,,Lustspiel,K,,1827-1828,1829,1829,04.06.1855,München,Augsburger Hof,,no,5,0,1833,270,0
203,GerDracor/lessing-der-schatz.xml,"Lessing, Gotthold Ephraim",Der Schatz,Ein Lustspiel in einem Aufzuge,"Gotthold Ephraim Lessing: Werke. Herausgegeben von Herbert G. Göpfert in
 Zusammenarbeit mit Karl Eibl, Helmut Göbel, Karl S. Guthke, Gerd Hillen, Albert von
 Schirmding und Jörg Schönert, Band 1–8, München: Hanser, 1970 ff.",1750,1750,1755,,,,,,,,Lustspiel,K,,1750,1755,1755,,,,,no,0,18,0,0,612
78,GerDracor/stephanie-der-schauspieldirektor.xml,"Stephanie, Johann Gottlieb",Der Schauspieldirektor,Ein Gelegenheitsstück in einem Aufzuge,"Wolfgang Amadeus Mozart: Der Schauspieldirektor. Ein Gelegenheitsstück in einem
 Aufzuge, Wien: Joseph von Kurzbek, 1786.",1786,,,1786,,,,,,,Libretto,K,,,,1786,07.02.1786,Wien,Schlosstheater Schönbrunn,,no,0,10,83,15,336
206,GerDracor/castelli-jeitteles-der-schicksalsstrumpf.xml,"Jeitteles, Ignaz Franz Castelli Alois",Der Schicksalsstrumpf,Tragödie in zwei Akten,"Der Schicksalsstrumpf. Tragödie in zwei Akten von den Brüdern Fatalis. Leipzig:
 Brockhaus 1818.",1818,,1818,,,,,,,,Tragödie,T,,,1818,1818,,,,,,,,,,
36,GerDracor/kotzebue-der-schutzgeist.xml,"Kotzebue, August von",Der Schutzgeist,Eine dramatische Legende in sechs Akten nebst einem Vorspiel,"August von Kotzebue: Der Schutzgeist. Eine dramatische Legende in sechs Akten
 nebst einem Vorspiel. Leipzig: Paul Gotthelf Kummer 1814.",1814,,1814,1814,,,,,,,dramatisches Gedicht,,,,1814,1814,,,,,,,,,,
77,GerDracor/iffland-der-spieler.xml,"Iffland, August Wilhelm",Der Spieler,Ein Schauspiel in fünf Aufzügen,"August Wilhelm Iffland: Theater. Wien: Verlag von Ignaz Klang, 1843.",1796,,1796,1796,,,,,,,Schauspiel,S,,,1796,1796,Januar 1796,Hamburg,,,no,5,66,0,0,1506
335,GerDracor/gottsched-der-sterbende-cato.xml,"Gottsched, Johann Christoph",Der sterbende Cato,Ein Trauerspiel,"Johann Christoph Gottsched: Ausgewählte Werke. Herausgegeben von Joachim Birke,
 Band 1: Gedichte und Gedichtübertragungen, Band 2: Sämtliche Dramen, Berlin: Walter de
 Gruyter & Co., 1968/1970.",1730,1730,1732,1731,,,,,,,Trauerspiel,T,HT,1730,1732,1732,Januar 1731,Leipzig,Neubersche Bühne,,no,5,31,1712,229,1
440,GerDracor/klopstock-der-tod-adams.xml,"Klopstock, Friedrich Gottlieb",Der Tod Adams,Ein Trauerspiel,"Friedrich Gottlieb Klopstock: Sämmtliche Werke. Leipzig: Verlag von Georg Joachim
 Göschen, 1844.",1757,,1757,,,,,,,,Trauerspiel,T,,1753,1757,1757,,,,,no,3,20,0,0,189
,TextGrid/-Der_Tod_des_Empedokles.xml,"Hölderlin, Friedrich",Der Tod des Empedokles,"Friedrich Hölderlin: Sämtliche Werke. Kleine Stuttgarter Ausgabe, 6 Bände, Band 4, Herausgegeben von Friedrich Beissner, Stuttgart: Cotta, 1962.",,1770,,,,1962,,1843,1770,,,Trauerspiel,T,,1797,1846,1797,,,,,yes,5,0,3408,337,159
13,GerDracor/goethe-der-triumph-der-empfindsamkeit.xml,"Goethe, Johann Wolfgang",Der Triumph der Empfindsamkeit,Eine dramatische Grille,"Johann Wolfgang von Goethe: Berliner Ausgabe. Herausgegeben von Siegfried Seidel:
 Poetische Werke [Band 1–16]; Kunsttheoretische Schriften und Übersetzungen [Band
 17–22], Berlin: Aufbau, 1960 ff.",1777,1777,1787,1778,,,,,,,Komödie,K,,1777,1787,1787,30.01.1778,Weimar,Hoftheater,,no,6,0,509,52,406
300,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,"Schlegel, Johann Elias",Der Triumph der guten Frauen,Ein Lustspiel in fünf Aufzügen,"Johann Elias Schlegel: Ausgewählte Werke. Herausgegeben von Werner Schubert,
 Weimar: Arion Verlag, 1963.",1747,1747,1748,,,,,,,,Lustspiel,K,ST,1747,1748,1748,,,,,no,5,48,0,0,953
,TextGrid/-Der_unglueckselige_Soldat.xml,"Mitternacht, Johann Sebastian",Der unglückselige Soldat,"Johann Sebastian Mitternacht: Dramen. Herausgegeben von Marianne Kaiser, Tübingen: Max Niemeyer Verlag, 1972 [Deutsche Neudrucke, Reihe: Barock, herausgegeben von Erich Trunz, Band 22].",,1613,,,,1972,,1679,1613,,,Trauerspiel,T,,,1662,1662,1662,Gera,Schultheater,,yes,5,32,179,1,284
148,GerDracor/wohlbrueck-der-vampyr.xml,"Wohlbrück, Wilhelm August",Der Vampyr,Romantische Oper in vier Aufzügen,"Heinrich Marschner: Der Vampyr. Romantische Oper in vier Aufzügen, Dichtung von
 Wilhelm August Wohlbrück, hg. v. Carl Friedrich Wittmann, Leipzig: Reclam, [o.
 J.]",1828,,,1828,,,,,,,Oper,,,,,1828,29.03.1828,Leipzig,Schauspielhaus,,no,4,39,1615,320,162
521,GerDracor/schroeder-der-vetter-in-lissabon.xml,"Schröder, Friedrich Ludwig",Der Vetter in Lissabon,Ein bürgerliches Familiengemälde in drei Aufzügen,"Friedrich Ludwig Schröder: Dramatische Werke. Herausgegeben von Eduard von Bülow,
 mit einer Einleitung von Ludwig Tieck, erste vollständige Ausgabe, Berlin: G. Reimer,
 1831.",1784,,1786,1784,,,,,,,Familiengemälde,K,,,1786,1786,02.10.1784,Wien,Burgtheater,,no,3,50,0,0,758
21,GerDracor/werner-der-vierundzwanzigste-februar.xml,"Werner, Zacharias",Der vierundzwanzigste Februar,Eine Tragödie in einem Akt,"Das Schicksalsdrama. Herausgegeben von Jakob Minor, Berlin und Stuttgart:
 Spemann, [1884] [Deutsche National-Literatur, Band 151]. S. 239–291.",1809,,1815,1809,,,,,,,Tragödie,T,,,1815,1815,13.10.1809,Coppet,,,no,0,3,1118,190,3
,TextGrid/-Der_vollendete_Faust_oder_Romanien_in_Jauer.xml,"Baggesen, Jens",Der vollendete Faust oder Romanien in Jauer,"Baggesen, Jens: Der vollendete Faust oder Romanien in Jauer. Jens Baggesen's Poetische Werke in deutscher Sprache, Bd. 3, Leipzig: Brockhaus, 1836 [Nachdruck: Bern, Frankfurt am Main, New York: Peter Lang, 1985].",,1764,,,,,,1985,1836,1826,1764,Dramatisches Gedicht,,,1808,1836,1808,,,,,yes,12,0,6450,1298,463
341,GerDracor/kotzebue-der-wirrwarr.xml,"Kotzebue, August von","Der Wirrwarr, oder der Muthwillige",Eine Posse in fünf Akten,"August von Kotzebue: Der Wirrwarr, oder der Muthwillige. Eine Posse in fünf
 Akten. Neue Auflage. Leipzig: Eduard Kummer 1836.",1801,,1803,1801,,,,,,,Posse,K,,,1802,1802,,,,,,,,,,
105,GerDracor/gottschedin-der-witzling.xml,"Gottsched, Luise Adelgunde Victorie",Der Witzling,Ein deutsches Nachspiel in einem Aufzuge,"Luise Adelgunde Victorie Gottsched: Der Witzling. Ein deutsches Nachspiel in
 einem Aufzuge / Johann Elias Schlegel: Die Stumme Schönheit. Ein Lustspiel in einem
 Aufzuge. Texte und Materialien zur Interpretation, besorgt von Wolfgang Hecht, Berlin:
 Walter de Gruyter & Co., 1962 [Komedia, Band 1].",1745,,1745,,,,,,,,Nachspiel,K,ST,,1745,1745,,,,,no,0,9,3,0,369
99,GerDracor/kleist-der-zerbrochene-krug.xml,"Kleist, Heinrich von",Der zerbrochne Krug,Ein Lustspiel,"Heinrich von Kleist: Werke und Briefe in vier Bänden. Herausgegeben von Siegfried
 Streller in Zusammenarbeit mit Peter Goldammer und Wolfgang Barthel, Anita Golz,
 Rudolf Loch, Berlin und Weimar: Aufbau, 1978.",1808,,1811,1808,,,,,,,Lustspiel,K,,1803-06,1811,1811,02.03.1808,Weimar,,,,,,,,
8,GerDracor/goethe-des-epimenides-erwachen.xml,"Goethe, Johann Wolfgang",Des Epimenides Erwachen,Ein Festspiel,"Goethes Werke. Hamburger Ausgabe in 14 Bänden. Textkritisch durchgesehen und mit
 Anmerkungen versehen von Erich Trunz, Hamburg: Christian Wegener, 1948 ff.
 [Seitenkonkordanz zu einer Mischauflage aus den Jahren 1959 und 1960.]",1815,,1815,1815,,,,,,,Festspiel,S,,,1815,1815,30.03.1815,Berlin,,,no,2,25,990,165,0
86,GerDracor/grillparzer-die-ahnfrau.xml,"Grillparzer, Franz",Die Ahnfrau,Trauerspiel in fünf Aufzügen,"Franz Grillparzer: Sämtliche Werke. Ausgewählte Briefe, Gespräche, Berichte.
 Herausgegeben von Peter Frank und Karl Pörnbacher, München: Hanser,
 [1960–1965].",1816,1816,1817,1817,,,,,,,Trauerspiel,T,,1816,1817,1817,31.01.1817,Wien,Theater an der Wien,,no,5,0,3442,389,0
125,GerDracor/lessing-die-alte-jungfer.xml,"Lessing, Gotthold Ephraim",Die alte Jungfer,Ein Lustspiel in drei Aufzügen,"Gotthold Ephraim Lessing: Werke. Herausgegeben von Herbert G. Göpfert in
 Zusammenarbeit mit Karl Eibl, Helmut Göbel, Karl S. Guthke, Gerd Hillen, Albert von
 Schirmding und Jörg Schönert, Band 1–8, München: Hanser, 1970 ff.",1748,1748,1749,,,,,,,,Lustspiel,K,ST,1748,1749,1749,,,,,no,3,23,9,3,476
489,GerDracor/grillparzer-die-argonauten.xml,"Grillparzer, Franz",Die Argonauten,Trauerspiel in vier Aufzügen,"Franz Grillparzer: Sämtliche Werke. Ausgewählte Briefe, Gespräche, Berichte.
 Herausgegeben von Peter Frank und Karl Pörnbacher, München: Hanser,
 [1960–1965].",1821,,1822,1821,,,,,,,Trauerspiel,T,,,1822,1822,,,,,,,,,,
,TextGrid/-Die_Aufgeregten.xml,"Goethe, Johann Wolfgang",Die Aufgeregten,"Goethes Werke. Hamburger Ausgabe in 14 Bänden. Textkritisch durchgesehen und mit Anmerkungen versehen von Erich Trunz, Hamburg: Christian Wegener, 1948 ff. [Seitenkonkordanz zu einer Mischauflage aus den Jahren 1959 und 1960.]",,1749,,,,1948,,1832,1749,,,Politisches Drama (Fragment),S,,1793,1817,1817,,,,,yes,5,0,302,0,196
514,GerDracor/heyne-die-beiden-billets.xml,"Heyne, Christian Leberecht",Die beiden Billets,Ein Lustspiel in einem Akt,"Die beiden Billets. Ein Lustspiel in einem Akt nach [Jean-Pierre Claris de]
 Florian von Anton-Wall [= Christian Leberecht Heyne]. Zweyte Ausgabe [zuerst 1783].
 Leipzig: Dyk 1790.",1783,,1783,1783,,,,,,,Lustspiel,K,,,1790,1790,,,,,,,,,,
52,GerDracor/kotzebue-die-beiden-klingsberg.xml,"Kotzebue, August von",Die beiden Klingsberg,Ein Lustspiel in vier Akten,"August von Kotzebue: Schauspiele. Mit einer Einführung von Benno von Wiese.
 Herausgegeben und kommentiert von Jürg Mathes, Frankfurt a.M.: Athenäum, 1972.",1801,,1801,,,,,,,,Lustspiel,K,,,1801,1801,07.03.1799,Wien,Burgtheater,,no,4,54,4,1,1280
466,GerDracor/gellert-die-betschwester.xml,"Gellert, Christian Fürchtegott",Die Betschwester,Lustspiel,"Christian Fürchtegott Gellert: Werke, Band 1 und 2. Herausgegeben von Gottfried
 Honnefelder, Frankfurt a.M.: Insel, 1979.",1745,,1745,1745,,,,,,,Lustspiel,K,RL,,1745,1745,,,,,no,3,25,0,0,414
544,GerDracor/koerner-die-braut.xml,"Körner, Theodor",Die Braut,"Ein Lustspiel in Alexandrinern, in einem Aufzuge","Theodor Körners sämtliche Werke in vier Teilen. Herausgegeben von Eugen Wildenow.
 Leipzig: Max Hesses Verlag [1903]. S. 415–429.",1811,1811,1813,1812,,,,,,,Lustspiel,K,,,1818,1818,,,,,,,,,,
400,GerDracor/schiller-die-braut-von-messina.xml,"Schiller, Friedrich",Die Braut von Messina oder Die feindlichen Brüder,Ein Trauerspiel mit Chören,"Friedrich Schiller: Sämtliche Werke, Auf Grund der Originaldrucke herausgegeben
 von Gerhard Fricke und Herbert G. Göpfert in Verbindung mit Herbert Stubenrauch, Band
 1–5, 3. Auflage, München: Hanser, 1962.",1803,,1803,1803,,,,,,,Trauerspiel,T,,1802-03,1803,1803,19.03.1803,Weimar,Hoftheater,,,,,,,
262,GerDracor/baeuerle-die-buerger-in-wien.xml,"Bäuerle, Adolf",Die Bürger in Wien,Lokale Posse in drei Akten,"Das Wiener Volkstheater in seinen schönsten Stücken. Herausgegeben und
 eingeleitet von Gerhard Helbig, Leipzig: Dieterich’sche Verlagsbuchhandlung,
 1960.",1813,,1820,1813,,,,,,,Posse,K,,,1820,1820,23.10.1813,Wien,,,no,3,50,52,10,642
79,GerDracor/krueger-die-candidaten.xml,"Krüger, Johann Christian",Die Candidaten oder Die Mittel zu einem Amte zu gelangen,Ein Lustspiel in fünf Handlungen,"Johann Christian Krüger: Die Candidaten, oder: Die Mittel zu einem Amte zu
 gelangen. Ohne Ort, Verlag und Jahr [Braunschweig und Hamburg, 1748] [Faksimiledruck
 mit einem Nachwort von Jürgen Jacobs: Stuttgart: J.B. Metzlersche Verlagsbuchhandlung,
 1970].",1747,,1748,1747,,,,,,,Lustspiel,K,,,1748,1748,21.07.1747,Hamburg,Schönemannsche Truppe,,no,5,50,6,2,524
357,GerDracor/kotzebue-die-deutschen-kleinstaedter.xml,"Kotzebue, August von",Die deutschen Kleinstädter,Ein Lustspiel in vier Akten,"August von Kotzebue: Schauspiele. Mit einer Einführung von Benno von Wiese.
 Herausgegeben und kommentiert von Jürg Mathes, Frankfurt a.M.: Athenäum, 1972.",1802,,1803,1802,,,,,,,Lustspiel,K,,1801,1803,1803,12.09.1802,Mannheim,Nationaltheater,,no,4,53,21,6,1160
364,GerDracor/solbrig-die-dorfschule.xml,"Solbrig, Carl Friedrich",Die Dorfschule,Eine charakteristische Posse in einem Akte,"Zwei dramatische Possen von C. F. Solbrig. Magdeburg: Schütz 1819, S.
 51–80.",1812,,1819,1812,,,,,,,Posse,K,,,1819,1819,,,,,,,,,,
347,GerDracor/stephanie-die-entfuehrung-aus-dem-serail.xml,"Stephanie, Johann Gottlieb",Die Entführung aus dem Serail,Ein Singspiel in drey Aufzügen,"Wolfgang Amadeus Mozart: Die Entführung aus dem Serail. Ein Singspiel in drei
 Aufzügen, nach Bretzner, aufgeführt im k.k. Nationalhoftheater, Wien: [o. V.],
 1782.",1782,,,1782,,,,,,,Singspiel,K,,,,1782,16.07.1782,Wien,Burgtheater,,no,3,28,482,90,287
,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,"Stranitzky, Joseph Anton",Die Enthauptung des weltberühmten Wohlredners Ciceronis,"Wiener Haupt- und Staatsaktionen. 2 Bände, eingeleitet und herausgegeben von Rudolf Payer von Thurn, Wien: Verlag des Literarischen Vereins in Wien, 1908 und 1910.",,1699,,,,,,1910,1908,1726,1699,,T,,,1908,1699,,,,,,,,,,
